,KABKOT,month,longitude,latitude,year,tp,time
0,JAKARTA BARAT,1,106.74999999999996,-6.158333333333336,2020.0,9.264915728320545,2020-01-01 09:36:00
1,JAKARTA BARAT,2,106.74999999999996,-6.158333333333336,2020.0,10.695420378197992,2020-02-01 09:36:00
2,JAKARTA BARAT,3,106.74999999999996,-6.158333333333336,2020.0,7.989386033266762,2020-02-29 14:24:00
3,JAKARTA BARAT,4,106.74999999999996,-6.158333333333336,2020.0,6.768114180614559,2020-03-31 14:24:00
4,JAKARTA BARAT,5,106.74999999999996,-6.158333333333336,2020.0,3.9573474600911496,2020-04-30 14:24:00
5,JAKARTA BARAT,6,106.74999999999996,-6.158333333333336,2020.0,3.1241641243299147,2020-05-31 14:24:00
6,JAKARTA BARAT,7,106.74999999999996,-6.158333333333336,2020.0,1.9480424188078098,2020-06-30 14:24:00
7,JAKARTA BARAT,8,106.74999999999996,-6.158333333333336,2020.0,2.1504139701526066,2020-07-31 14:24:00
8,JAKARTA BARAT,9,106.74999999999996,-6.158333333333336,2020.0,2.775766690572175,2020-08-31 14:24:00
9,JAKARTA BARAT,10,106.74999999999996,-6.158333333333336,2020.0,4.446980132410975,2020-09-30 14:24:00
10,JAKARTA BARAT,11,106.74999999999996,-6.158333333333336,2020.0,5.661227719237366,2020-10-31 14:24:00
11,JAKARTA BARAT,12,106.74999999999996,-6.158333333333336,2020.0,8.068726324786747,2020-11-30 14:24:00
12,JAKARTA PUSAT,1,106.84999999999995,-6.200000000000003,2020.0,9.626160785555662,2020-01-01 09:36:00
13,JAKARTA PUSAT,2,106.84999999999995,-6.200000000000003,2020.0,11.172358885407183,2020-02-01 09:36:00
14,JAKARTA PUSAT,3,106.84999999999995,-6.200000000000003,2020.0,8.44450712949018,2020-02-29 14:24:00
15,JAKARTA PUSAT,4,106.84999999999995,-6.200000000000003,2020.0,7.150132402777524,2020-03-31 14:24:00
16,JAKARTA PUSAT,5,106.84999999999995,-6.200000000000003,2020.0,3.940211310982677,2020-04-30 14:24:00
17,JAKARTA PUSAT,6,106.84999999999995,-6.200000000000003,2020.0,3.0667267069220485,2020-05-31 14:24:00
18,JAKARTA PUSAT,7,106.84999999999995,-6.200000000000003,2020.0,1.7973494902253855,2020-06-30 14:24:00
19,JAKARTA PUSAT,8,106.84999999999995,-6.200000000000003,2020.0,2.0930104777217755,2020-07-31 14:24:00
20,JAKARTA PUSAT,9,106.84999999999995,-6.200000000000003,2020.0,2.7080949991942154,2020-08-31 14:24:00
21,JAKARTA PUSAT,10,106.84999999999995,-6.200000000000003,2020.0,4.7556549198924785,2020-09-30 14:24:00
22,JAKARTA PUSAT,11,106.84999999999995,-6.200000000000003,2020.0,6.440135739743409,2020-10-31 14:24:00
23,JAKARTA PUSAT,12,106.84999999999995,-6.200000000000003,2020.0,8.375961251556777,2020-11-30 14:24:00
24,JAKARTA SELATAN,1,106.8083333333333,-6.283333333333336,2020.0,9.639708120375698,2020-01-01 09:36:00
25,JAKARTA SELATAN,2,106.8083333333333,-6.283333333333336,2020.0,10.985247741142656,2020-02-01 09:36:00
26,JAKARTA SELATAN,3,106.8083333333333,-6.283333333333336,2020.0,8.769001892457215,2020-02-29 14:24:00
27,JAKARTA SELATAN,4,106.8083333333333,-6.283333333333336,2020.0,7.474537594243764,2020-03-31 14:24:00
28,JAKARTA SELATAN,5,106.8083333333333,-6.283333333333336,2020.0,4.063996306310097,2020-04-30 14:24:00
29,JAKARTA SELATAN,6,106.8083333333333,-6.283333333333336,2020.0,3.169355181356286,2020-05-31 14:24:00
30,JAKARTA SELATAN,7,106.8083333333333,-6.283333333333336,2020.0,1.9242535034816235,2020-06-30 14:24:00
31,JAKARTA SELATAN,8,106.8083333333333,-6.283333333333336,2020.0,2.4167312309146824,2020-07-31 14:24:00
32,JAKARTA SELATAN,9,106.8083333333333,-6.283333333333336,2020.0,3.147361514469087,2020-08-31 14:24:00
33,JAKARTA SELATAN,10,106.8083333333333,-6.283333333333336,2020.0,5.3676970551410985,2020-09-30 14:24:00
34,JAKARTA SELATAN,11,106.8083333333333,-6.283333333333336,2020.0,6.9855435378846895,2020-10-31 14:24:00
35,JAKARTA SELATAN,12,106.8083333333333,-6.283333333333336,2020.0,8.76467121765012,2020-11-30 14:24:00
36,JAKARTA TIMUR,1,106.90999999999997,-6.2600000000000025,2020.0,10.0281308889387,2020-01-01 09:36:00
37,JAKARTA TIMUR,2,106.90999999999997,-6.2600000000000025,2020.0,11.573100382834385,2020-02-01 09:36:00
38,JAKARTA TIMUR,3,106.90999999999997,-6.2600000000000025,2020.0,9.16742738187289,2020-02-29 14:24:00
39,JAKARTA TIMUR,4,106.90999999999997,-6.2600000000000025,2020.0,7.7403868936000535,2020-03-31 14:24:00
40,JAKARTA TIMUR,5,106.90999999999997,-6.2600000000000025,2020.0,4.121088798344111,2020-04-30 14:24:00
41,JAKARTA TIMUR,6,106.90999999999997,-6.2600000000000025,2020.0,3.1824865788221364,2020-05-31 14:24:00
42,JAKARTA TIMUR,7,106.90999999999997,-6.2600000000000025,2020.0,1.7657031565905428,2020-06-30 14:24:00
43,JAKARTA TIMUR,8,106.90999999999997,-6.2600000000000025,2020.0,2.1838943809271827,2020-07-31 14:24:00
44,JAKARTA TIMUR,9,106.90999999999997,-6.2600000000000025,2020.0,2.9308923959732995,2020-08-31 14:24:00
45,JAKARTA TIMUR,10,106.90999999999997,-6.2600000000000025,2020.0,5.413112495094465,2020-09-30 14:24:00
46,JAKARTA TIMUR,11,106.90999999999997,-6.2600000000000025,2020.0,7.529146543144837,2020-10-31 14:24:00
47,JAKARTA TIMUR,12,106.90999999999997,-6.2600000000000025,2020.0,8.886482293903732,2020-11-30 14:24:00
48,JAKARTA UTARA,1,106.89166666666662,-6.125000000000003,2020.0,9.64427500031876,2020-01-01 09:36:00
49,JAKARTA UTARA,2,106.89166666666662,-6.125000000000003,2020.0,11.400956540678713,2020-02-01 09:36:00
50,JAKARTA UTARA,3,106.89166666666662,-6.125000000000003,2020.0,8.154169701039697,2020-02-29 14:24:00
51,JAKARTA UTARA,4,106.89166666666662,-6.125000000000003,2020.0,6.915590398013492,2020-03-31 14:24:00
52,JAKARTA UTARA,5,106.89166666666662,-6.125000000000003,2020.0,3.9828229323029407,2020-04-30 14:24:00
53,JAKARTA UTARA,6,106.89166666666662,-6.125000000000003,2020.0,3.1053754265109825,2020-05-31 14:24:00
54,JAKARTA UTARA,7,106.89166666666662,-6.125000000000003,2020.0,1.742493721346134,2020-06-30 14:24:00
55,JAKARTA UTARA,8,106.89166666666662,-6.125000000000003,2020.0,1.86494762202112,2020-07-31 14:24:00
56,JAKARTA UTARA,9,106.89166666666662,-6.125000000000003,2020.0,2.533138304948876,2020-08-31 14:24:00
57,JAKARTA UTARA,10,106.89166666666662,-6.125000000000003,2020.0,4.379896277561749,2020-09-30 14:24:00
58,JAKARTA UTARA,11,106.89166666666662,-6.125000000000003,2020.0,6.028470107664451,2020-10-31 14:24:00
59,JAKARTA UTARA,12,106.89166666666662,-6.125000000000003,2020.0,8.175811542818861,2020-11-30 14:24:00
