,KABKOT,month,longitude,latitude,year,RH,time
0,JAKARTA BARAT,1,106.74999999999996,-6.158333333333336,2020.0,84.13646219889326,2020-01-01 09:36:00
1,JAKARTA BARAT,2,106.74999999999996,-6.158333333333336,2020.0,85.30153767903639,2020-02-01 09:36:00
2,JAKARTA BARAT,3,106.74999999999996,-6.158333333333336,2020.0,83.4783762613932,2020-02-29 14:24:00
3,JAKARTA BARAT,4,106.74999999999996,-6.158333333333336,2020.0,83.11935180664068,2020-03-31 14:24:00
4,JAKARTA BARAT,5,106.74999999999996,-6.158333333333336,2020.0,81.91970397949223,2020-04-30 14:24:00
5,JAKARTA BARAT,6,106.74999999999996,-6.158333333333336,2020.0,80.4707963053386,2020-05-31 14:24:00
6,JAKARTA BARAT,7,106.74999999999996,-6.158333333333336,2020.0,75.99251424153638,2020-06-30 14:24:00
7,JAKARTA BARAT,8,106.74999999999996,-6.158333333333336,2020.0,74.7479553222656,2020-07-31 14:24:00
8,JAKARTA BARAT,9,106.74999999999996,-6.158333333333336,2020.0,74.60981302897127,2020-08-31 14:24:00
9,JAKARTA BARAT,10,106.74999999999996,-6.158333333333336,2020.0,76.34535481770821,2020-09-30 14:24:00
10,JAKARTA BARAT,11,106.74999999999996,-6.158333333333336,2020.0,80.20550109863265,2020-10-31 14:24:00
11,JAKARTA BARAT,12,106.74999999999996,-6.158333333333336,2020.0,82.5725681559245,2020-11-30 14:24:00
12,JAKARTA PUSAT,1,106.84999999999995,-6.200000000000003,2020.0,84.24138305664071,2020-01-01 09:36:00
13,JAKARTA PUSAT,2,106.84999999999995,-6.200000000000003,2020.0,85.50486694335927,2020-02-01 09:36:00
14,JAKARTA PUSAT,3,106.84999999999995,-6.200000000000003,2020.0,83.5887390136719,2020-02-29 14:24:00
15,JAKARTA PUSAT,4,106.84999999999995,-6.200000000000003,2020.0,83.1701501464845,2020-03-31 14:24:00
16,JAKARTA PUSAT,5,106.84999999999995,-6.200000000000003,2020.0,81.88307617187502,2020-04-30 14:24:00
17,JAKARTA PUSAT,6,106.84999999999995,-6.200000000000003,2020.0,80.50658813476542,2020-05-31 14:24:00
18,JAKARTA PUSAT,7,106.84999999999995,-6.200000000000003,2020.0,76.0427539062498,2020-06-30 14:24:00
19,JAKARTA PUSAT,8,106.84999999999995,-6.200000000000003,2020.0,74.76787109374987,2020-07-31 14:24:00
20,JAKARTA PUSAT,9,106.84999999999995,-6.200000000000003,2020.0,74.47333007812483,2020-08-31 14:24:00
21,JAKARTA PUSAT,10,106.84999999999995,-6.200000000000003,2020.0,76.65334106445266,2020-09-30 14:24:00
22,JAKARTA PUSAT,11,106.84999999999995,-6.200000000000003,2020.0,80.64784667968729,2020-10-31 14:24:00
23,JAKARTA PUSAT,12,106.84999999999995,-6.200000000000003,2020.0,82.70196289062498,2020-11-30 14:24:00
24,JAKARTA SELATAN,1,106.8083333333333,-6.283333333333336,2020.0,84.54095357259118,2020-01-01 09:36:00
25,JAKARTA SELATAN,2,106.8083333333333,-6.283333333333336,2020.0,85.82362874348952,2020-02-01 09:36:00
26,JAKARTA SELATAN,3,106.8083333333333,-6.283333333333336,2020.0,83.79187825520827,2020-02-29 14:24:00
27,JAKARTA SELATAN,4,106.8083333333333,-6.283333333333336,2020.0,83.4886250813802,2020-03-31 14:24:00
28,JAKARTA SELATAN,5,106.8083333333333,-6.283333333333336,2020.0,82.1100819905599,2020-04-30 14:24:00
29,JAKARTA SELATAN,6,106.8083333333333,-6.283333333333336,2020.0,80.68133036295575,2020-05-31 14:24:00
30,JAKARTA SELATAN,7,106.8083333333333,-6.283333333333336,2020.0,75.70822041829419,2020-06-30 14:24:00
31,JAKARTA SELATAN,8,106.8083333333333,-6.283333333333336,2020.0,74.53732198079423,2020-07-31 14:24:00
32,JAKARTA SELATAN,9,106.8083333333333,-6.283333333333336,2020.0,74.33011779785153,2020-08-31 14:24:00
33,JAKARTA SELATAN,10,106.8083333333333,-6.283333333333336,2020.0,76.75242919921858,2020-09-30 14:24:00
34,JAKARTA SELATAN,11,106.8083333333333,-6.283333333333336,2020.0,80.81194559733052,2020-10-31 14:24:00
35,JAKARTA SELATAN,12,106.8083333333333,-6.283333333333336,2020.0,82.98879496256505,2020-11-30 14:24:00
36,JAKARTA TIMUR,1,106.90999999999997,-6.2600000000000025,2020.0,84.5301513671875,2020-01-01 09:36:00
37,JAKARTA TIMUR,2,106.90999999999997,-6.2600000000000025,2020.0,85.87257714843744,2020-02-01 09:36:00
38,JAKARTA TIMUR,3,106.90999999999997,-6.2600000000000025,2020.0,83.90764794921866,2020-02-29 14:24:00
39,JAKARTA TIMUR,4,106.90999999999997,-6.2600000000000025,2020.0,83.4567915039063,2020-03-31 14:24:00
40,JAKARTA TIMUR,5,106.90999999999997,-6.2600000000000025,2020.0,82.05597094726566,2020-04-30 14:24:00
41,JAKARTA TIMUR,6,106.90999999999997,-6.2600000000000025,2020.0,80.76535351562491,2020-05-31 14:24:00
42,JAKARTA TIMUR,7,106.90999999999997,-6.2600000000000025,2020.0,76.26235815429662,2020-06-30 14:24:00
43,JAKARTA TIMUR,8,106.90999999999997,-6.2600000000000025,2020.0,75.00837499999982,2020-07-31 14:24:00
44,JAKARTA TIMUR,9,106.90999999999997,-6.2600000000000025,2020.0,74.65776416015613,2020-08-31 14:24:00
45,JAKARTA TIMUR,10,106.90999999999997,-6.2600000000000025,2020.0,77.24344091796848,2020-09-30 14:24:00
46,JAKARTA TIMUR,11,106.90999999999997,-6.2600000000000025,2020.0,81.23060913085911,2020-10-31 14:24:00
47,JAKARTA TIMUR,12,106.90999999999997,-6.2600000000000025,2020.0,83.05142333984374,2020-11-30 14:24:00
48,JAKARTA UTARA,1,106.89166666666662,-6.125000000000003,2020.0,84.11228658040365,2020-01-01 09:36:00
49,JAKARTA UTARA,2,106.89166666666662,-6.125000000000003,2020.0,85.2560144042969,2020-02-01 09:36:00
50,JAKARTA UTARA,3,106.89166666666662,-6.125000000000003,2020.0,83.46309000651046,2020-02-29 14:24:00
51,JAKARTA UTARA,4,106.89166666666662,-6.125000000000003,2020.0,82.96704142252607,2020-03-31 14:24:00
52,JAKARTA UTARA,5,106.89166666666662,-6.125000000000003,2020.0,81.85063191731776,2020-04-30 14:24:00
53,JAKARTA UTARA,6,106.89166666666662,-6.125000000000003,2020.0,80.64971964518227,2020-05-31 14:24:00
54,JAKARTA UTARA,7,106.89166666666662,-6.125000000000003,2020.0,76.84155151367155,2020-06-30 14:24:00
55,JAKARTA UTARA,8,106.89166666666662,-6.125000000000003,2020.0,75.63515726725227,2020-07-31 14:24:00
56,JAKARTA UTARA,9,106.89166666666662,-6.125000000000003,2020.0,75.32590270996069,2020-08-31 14:24:00
57,JAKARTA UTARA,10,106.89166666666662,-6.125000000000003,2020.0,77.13822977701798,2020-09-30 14:24:00
58,JAKARTA UTARA,11,106.89166666666662,-6.125000000000003,2020.0,80.65552388509099,2020-10-31 14:24:00
59,JAKARTA UTARA,12,106.89166666666662,-6.125000000000003,2020.0,82.58713948567711,2020-11-30 14:24:00
